id,cmgroup,age,struc
1483,140,1,artproc
1484,300,2,artproc
1485,310,2,artproc
1486,440,4,artproc
1487,260,2,artproc
1488,280,2,artproc
1489,310,2,artproc
1490,410,4,artproc
1491,470,7,artproc
1492,980,13,artproc
1493,230,2,artproc
1494,250,1,artproc
1495,270,2,artproc
1496,280,2,artproc
1497,310,3,artproc
1498,320,3,artproc
1499,380,4,artproc
1500,410,3,artproc
1501,430,6,artproc
1502,540,6,artproc
1503,180,1,artproc
1504,230,1,artproc
1505,240,2,artproc
1506,260,2,artproc
1507,290,2,artproc
1508,300,3,artproc
1509,310,2,artproc
1510,330,2,artproc
1511,410,4,artproc
1512,440,3,artproc
1513,450,7,artproc
1514,480,6,artproc
1515,500,8,artproc
1516,590,8,artproc
1517,170,1,artproc
1518,210,2,artproc
1519,270,2,artproc
1520,330,2,artproc
1521,430,3,artproc
1522,560,7,artproc
1523,280,2,artproc
1524,290,3,artproc
1525,310,3,artproc
1526,320,2,artproc
1527,340,2,artproc
1528,400,2,artproc
1529,430,7,artproc
1530,640,8,artproc
1531,240,1,artproc
1532,280,2,artproc
1533,410,3,artproc
1534,450,4,artproc
1535,170,1,artproc
1536,260,2,artproc
1537,290,2,artproc
1538,310,2,artproc
1539,390,3,artproc
1540,420,3,artproc
1541,470,7,artproc
1542,490,6,artproc
1543,520,7,artproc
1544,550,8,artproc
1545,180,1,artproc
1546,210,1,artproc
1547,320,2,artproc
1548,410,3,artproc
1549,540,7,artproc
1550,1000,15,artproc
1551,798,9,artproc
1552,240,2,artproc
1553,270,3,artproc
1554,290,3,artproc
1555,300,2,artproc
1556,320,2,artproc
1557,400,4,artproc
1558,680,9,artproc
1559,230,2,artproc
1560,240,1,artproc
1561,250,3,artproc
1562,380,4,artproc
1563,420,3,artproc
1564,430,4,artproc
1565,480,7,artproc
1566,580,9,artproc
1567,240,2,artproc
1568,300,2,artproc
1569,330,3,artproc
1570,430,4,artproc
1571,450,6,artproc
1572,470,4,artproc
1573,560,6,artproc
1574,150,1,artproc
1575,160,1,artproc
1576,230,2,artproc
1577,240,1,artproc
1578,260,2,artproc
1579,460,10,artproc
1580,540,8,artproc
1581,190,2,artproc
1582,220,2,artproc
1583,240,2,artproc
1584,250,2,artproc
1585,400,3,artproc
1586,410,4,artproc
1587,420,3,artproc
1588,430,8,artproc
1589,450,6,artproc
1590,480,8,artproc
1591,560,9,artproc
1592,220,1,artproc
1593,230,2,artproc
1594,240,2,artproc
1595,250,2,artproc
1596,300,2,artproc
1597,330,3,artproc
1598,480,6,artproc
1599,500,7,artproc
1600,170,1,artproc
1601,210,2,artproc
1602,260,1,artproc
1603,330,2,artproc
1604,410,4,artproc
1605,430,3,artproc
1606,210,2,artproc
1607,280,2,artproc
1608,430,3,artproc
1609,220,1,artproc
1610,240,2,artproc
1611,250,2,artproc
1612,300,2,artproc
1613,330,3,artproc
1614,440,4,artproc
1615,180,1,artproc
1616,260,2,artproc
1617,270,2,artproc
1618,410,3,artproc
