id,tl,structure,age,cmgroup
1640,NA,NA,NA,220
1641,NA,NA,NA,220
1642,NA,NA,NA,220
1643,NA,NA,NA,220
1644,NA,NA,NA,220
1645,NA,NA,NA,220
1646,NA,NA,NA,230
1647,NA,NA,NA,230
1648,NA,NA,NA,230
1649,NA,NA,NA,230
1650,NA,NA,NA,230
1651,NA,NA,NA,230
1652,NA,NA,NA,230
1653,NA,NA,NA,230
1654,NA,NA,NA,230
1655,NA,NA,NA,230
1656,NA,NA,NA,230
1657,NA,NA,NA,230
1658,NA,NA,NA,230
1659,NA,NA,NA,230
1660,NA,NA,NA,230
1661,NA,NA,NA,240
1662,NA,NA,NA,240
1663,NA,NA,NA,240
1664,NA,NA,NA,240
1665,NA,NA,NA,240
1666,NA,NA,NA,240
1667,NA,NA,NA,240
1668,NA,NA,NA,240
1669,NA,NA,NA,240
1670,NA,NA,NA,240
1671,NA,NA,NA,240
1672,NA,NA,NA,240
1673,NA,NA,NA,240
1674,NA,NA,NA,240
1675,NA,NA,NA,250
1676,NA,NA,NA,250
1677,NA,NA,NA,250
1678,NA,NA,NA,250
1679,NA,NA,NA,250
1680,NA,NA,NA,250
1681,NA,NA,NA,250
1682,NA,NA,NA,250
1683,NA,NA,NA,250
1684,NA,NA,NA,250
1685,NA,NA,NA,260
1686,NA,NA,NA,260
1687,NA,NA,NA,260
1688,NA,NA,NA,260
1689,NA,NA,NA,260
1690,NA,NA,NA,260
1691,NA,NA,NA,260
1692,NA,NA,NA,270
1693,NA,NA,NA,270
1694,NA,NA,NA,270
1695,NA,NA,NA,270
1696,NA,NA,NA,270
1697,NA,NA,NA,270
1698,NA,NA,NA,270
1699,NA,NA,NA,270
1700,NA,NA,NA,270
1701,NA,NA,NA,270
1702,NA,NA,NA,270
1703,NA,NA,NA,270
1704,NA,NA,NA,270
1705,NA,NA,NA,270
1706,NA,NA,NA,270
1707,NA,NA,NA,270
1708,NA,NA,NA,270
1709,NA,NA,NA,270
1710,NA,NA,NA,280
1711,NA,NA,NA,280
1712,NA,NA,NA,280
1713,NA,NA,NA,280
1714,NA,NA,NA,280
1715,NA,NA,NA,280
1716,NA,NA,NA,280
1717,NA,NA,NA,280
1718,NA,NA,NA,280
1719,NA,NA,NA,290
1720,NA,NA,NA,290
1721,NA,NA,NA,400
1722,NA,NA,NA,400
1723,NA,NA,NA,430
1724,NA,NA,NA,430
1725,NA,NA,NA,430
1726,NA,NA,NA,460
1727,NA,NA,NA,460
1728,NA,NA,NA,460
1729,NA,NA,NA,460
1730,NA,NA,NA,480
1731,NA,NA,NA,480
1732,NA,NA,NA,480
1733,NA,NA,NA,200
1734,NA,NA,NA,200
1735,NA,NA,NA,200
1736,NA,NA,NA,200
1737,NA,NA,NA,210
1738,NA,NA,NA,210
1739,NA,NA,NA,210
1740,NA,NA,NA,210
1741,NA,NA,NA,210
1742,NA,NA,NA,210
1743,NA,NA,NA,210
1744,NA,NA,NA,210
1745,NA,NA,NA,210
1746,NA,NA,NA,210
1747,NA,NA,NA,210
1748,NA,NA,NA,210
1749,NA,NA,NA,210
1750,NA,NA,NA,210
1751,NA,NA,NA,210
1752,NA,NA,NA,220
1753,NA,NA,NA,220
1754,NA,NA,NA,220
1755,NA,NA,NA,220
1756,NA,NA,NA,220
1757,NA,NA,NA,220
1758,NA,NA,NA,220
1759,NA,NA,NA,220
1760,NA,NA,NA,220
1761,NA,NA,NA,220
1762,NA,NA,NA,220
1763,NA,NA,NA,220
1764,NA,NA,NA,220
1765,NA,NA,NA,220
1766,NA,NA,NA,220
1767,NA,NA,NA,220
1768,NA,NA,NA,220
1769,NA,NA,NA,220
1770,NA,NA,NA,220
1771,NA,NA,NA,220
1772,NA,NA,NA,220
1773,NA,NA,NA,220
1774,NA,NA,NA,230
1775,NA,NA,NA,230
1776,NA,NA,NA,230
1777,NA,NA,NA,230
1778,NA,NA,NA,230
1779,NA,NA,NA,230
1780,NA,NA,NA,230
1781,NA,NA,NA,230
1782,NA,NA,NA,230
1783,NA,NA,NA,230
1784,NA,NA,NA,230
1785,NA,NA,NA,230
1786,NA,NA,NA,230
1787,NA,NA,NA,230
1788,NA,NA,NA,230
1789,NA,NA,NA,230
1790,NA,NA,NA,230
1791,NA,NA,NA,230
1792,NA,NA,NA,230
1793,NA,NA,NA,230
1794,NA,NA,NA,240
1795,NA,NA,NA,240
1796,NA,NA,NA,240
1797,NA,NA,NA,240
1798,NA,NA,NA,240
1799,NA,NA,NA,250
1800,NA,NA,NA,250
1801,NA,NA,NA,250
1802,NA,NA,NA,260
1803,NA,NA,NA,260
1804,NA,NA,NA,260
1805,NA,NA,NA,260
1806,NA,NA,NA,260
1807,NA,NA,NA,260
1808,NA,NA,NA,270
1809,NA,NA,NA,270
1810,NA,NA,NA,270
1811,NA,NA,NA,270
1812,NA,NA,NA,270
1813,NA,NA,NA,290
1814,NA,NA,NA,290
1815,NA,NA,NA,290
1816,NA,NA,NA,160
1817,NA,NA,NA,160
1818,NA,NA,NA,170
